,limit_bal,marriage,age,l_education,sex,education_graduate school,education_high school,education_other,education_university,default_status,limit_cat,months_behind
197,150000,1,34,3,1,0,0,0,1,0,1,0
198,20000,2,22,0,1,1,0,0,0,0,0,0
199,500000,1,34,0,1,1,0,0,0,0,2,0
200,30000,2,22,1,1,0,1,0,0,1,0,0
201,180000,1,38,0,1,1,0,0,0,0,1,0
405,140000,2,31,0,0,1,0,0,0,0,1,2
406,140000,2,26,0,1,1,0,0,0,0,1,0
407,120000,2,26,3,0,0,0,0,1,0,1,0
408,360000,1,48,3,1,0,0,0,1,0,2,0
409,20000,1,43,1,0,0,1,0,0,0,0,0
410,100000,1,47,0,0,1,0,0,0,0,1,0
411,210000,1,41,3,1,0,0,0,1,1,2,0
412,80000,2,24,3,1,0,0,0,1,1,0,0
413,330000,1,50,0,1,1,0,0,0,0,2,0
414,220000,2,24,0,0,1,0,0,0,0,2,0
415,210000,1,38,0,1,1,0,0,0,1,2,0
416,40000,1,43,1,1,0,1,0,0,0,0,0
417,30000,2,39,3,0,0,0,0,1,0,0,0
418,470000,2,27,3,0,0,0,0,1,0,2,0
419,30000,1,42,1,0,0,1,0,0,0,0,2
420,240000,1,36,3,1,0,0,0,1,1,2,0
421,80000,2,36,3,0,0,0,0,1,0,0,0
422,110000,0,31,1,1,0,1,0,0,0,1,0
423,310000,2,38,0,1,1,0,0,0,0,2,0
424,360000,1,40,0,1,1,0,0,0,1,2,0
425,330000,2,45,1,1,0,1,0,0,0,2,0
426,300000,2,35,3,1,0,0,0,1,0,2,0
427,320000,2,33,3,1,0,0,0,1,0,2,0
428,50000,2,37,1,1,0,1,0,0,1,0,0
429,170000,2,28,0,1,1,0,0,0,0,1,0
430,350000,1,44,1,0,0,1,0,0,0,2,0
431,20000,1,37,3,0,0,0,0,1,0,0,0
432,50000,2,23,3,0,0,0,0,1,1,0,0
433,20000,2,24,1,1,0,1,0,0,0,0,0
434,50000,2,24,0,1,1,0,0,0,0,0,0
435,20000,2,23,3,0,0,0,0,1,1,0,0
436,50000,1,26,3,0,0,0,0,1,0,0,0
437,190000,2,34,3,0,0,0,0,1,1,1,2
438,60000,1,33,3,1,0,0,0,1,0,0,0
439,80000,2,35,0,0,1,0,0,0,0,0,0
440,150000,2,27,3,1,0,0,0,1,0,1,0
441,210000,2,31,0,1,1,0,0,0,0,2,0
442,240000,1,50,1,1,0,1,0,0,1,2,0
443,140000,3,41,3,1,0,0,0,1,1,1,0
444,60000,2,28,0,1,1,0,0,0,0,0,0
445,50000,2,39,0,0,1,0,0,0,0,0,0
446,50000,2,27,3,1,0,0,0,1,0,0,0
447,180000,2,32,0,1,1,0,0,0,0,1,0
448,30000,2,40,0,1,1,0,0,0,0,0,2
449,20000,2,40,3,1,0,0,0,1,0,0,0
450,250000,1,75,3,1,0,0,0,1,0,2,0
451,100000,2,27,3,1,0,0,0,1,0,1,0
452,330000,2,25,0,0,1,0,0,0,0,2,0
453,50000,1,46,1,0,0,1,0,0,0,0,0
454,50000,2,26,3,1,0,0,0,1,0,0,0
455,30000,2,28,3,0,0,0,0,1,0,0,0
456,140000,2,26,3,1,0,0,0,1,1,1,0
457,160000,2,28,0,1,1,0,0,0,0,1,0
458,400000,2,29,3,1,0,0,0,1,0,2,0
459,50000,1,25,3,0,0,0,0,1,0,0,0
460,140000,1,48,3,1,0,0,0,1,0,1,0
461,160000,1,33,3,1,0,0,0,1,0,1,0
462,100000,1,43,1,1,0,1,0,0,0,1,0
463,220000,1,48,0,0,1,0,0,0,1,2,0
464,510000,2,29,0,1,1,0,0,0,0,2,0
465,50000,2,29,3,0,0,0,0,1,0,0,0
466,160000,1,38,0,1,1,0,0,0,0,1,0
467,230000,2,37,0,1,1,0,0,0,0,2,0
468,80000,2,37,0,1,1,0,0,0,0,0,0
469,150000,1,25,3,1,0,0,0,1,0,1,0
470,10000,2,23,1,0,0,1,0,0,0,0,2
471,130000,2,49,1,1,0,1,0,0,1,1,0
472,40000,2,48,0,1,1,0,0,0,0,0,0
473,50000,2,27,3,0,0,0,0,1,1,0,0
474,100000,2,32,1,0,0,1,0,0,0,1,0
475,120000,1,34,0,0,1,0,0,0,0,1,0
476,260000,2,58,0,1,1,0,0,0,1,2,0
477,200000,2,33,3,1,0,0,0,1,0,1,0
478,360000,2,28,3,1,0,0,0,1,1,2,0
479,70000,2,36,3,1,0,0,0,1,0,0,0
480,460000,1,40,0,0,1,0,0,0,1,2,0
481,50000,2,26,0,1,1,0,0,0,0,0,0
482,50000,1,33,1,0,0,1,0,0,0,0,0
483,250000,1,31,3,1,0,0,0,1,0,2,0
484,30000,2,27,0,1,1,0,0,0,0,0,0
485,270000,1,44,3,0,0,0,0,1,0,2,0
486,180000,2,30,1,1,0,1,0,0,0,1,0
487,100000,2,28,0,1,1,0,0,0,0,1,0
488,230000,1,32,1,1,0,1,0,0,0,2,0
489,210000,1,46,0,1,1,0,0,0,0,2,0
490,210000,2,38,0,0,1,0,0,0,0,2,0
491,440000,1,46,3,1,0,0,0,1,0,2,0
492,100000,2,25,3,1,0,0,0,1,1,1,0
493,240000,1,46,3,1,0,0,0,1,0,2,0
494,280000,2,33,0,0,1,0,0,0,1,2,0
495,50000,2,22,3,1,0,0,0,1,1,0,0
496,30000,1,43,3,0,0,0,0,1,0,0,2
497,10000,2,27,3,0,0,0,0,1,1,0,0
498,130000,2,29,0,0,1,0,0,0,0,1,0
499,200000,2,31,0,0,1,0,0,0,0,1,0
500,120000,1,29,3,1,0,0,0,1,0,1,0
501,210000,1,36,3,1,0,0,0,1,0,2,0
502,280000,1,36,0,1,1,0,0,0,0,2,0
503,300000,2,34,0,0,1,0,0,0,1,2,0
504,100000,2,37,3,0,0,0,0,1,0,1,0
505,440000,2,36,0,1,1,0,0,0,0,2,0
506,50000,1,40,1,1,0,1,0,0,0,0,0
507,20000,2,25,0,1,1,0,0,0,1,0,0
508,200000,2,27,0,1,1,0,0,0,0,1,0
509,110000,2,26,3,1,0,0,0,1,0,1,0
510,500000,1,36,3,1,0,0,0,1,0,2,0
511,300000,1,27,3,1,0,0,0,1,0,2,0
512,30000,1,55,1,0,0,1,0,0,1,0,4
513,60000,2,27,0,1,1,0,0,0,0,0,0
514,400000,1,38,3,1,0,0,0,1,0,2,0
515,180000,1,34,3,1,0,0,0,1,0,1,0
516,20000,2,40,0,0,1,0,0,0,0,0,0
517,200000,1,49,1,1,0,1,0,0,1,1,0
518,100000,2,27,0,0,1,0,0,0,0,1,0
519,60000,2,23,3,0,0,0,0,1,1,0,0
520,110000,2,36,3,1,0,0,0,1,0,1,0
521,260000,1,53,1,1,0,1,0,0,0,2,0
522,50000,1,46,1,1,0,1,0,0,0,0,0
523,180000,2,29,3,0,0,0,0,1,0,1,0
524,110000,2,29,3,0,0,0,0,1,1,1,0
525,340000,2,27,0,1,1,0,0,0,0,2,0
526,50000,2,24,3,0,0,0,0,1,0,0,0
527,230000,1,28,3,1,0,0,0,1,1,2,0
528,360000,2,32,3,1,0,0,0,1,0,2,0
529,210000,2,43,3,0,0,0,0,1,0,2,0
530,220000,1,41,3,1,0,0,0,1,1,2,0
531,60000,1,34,3,1,0,0,0,1,1,0,0
532,340000,1,55,3,0,0,0,0,1,0,2,0
533,150000,1,40,0,0,1,0,0,0,0,1,2
534,200000,1,37,3,1,0,0,0,1,1,1,0
535,130000,2,40,3,1,0,0,0,1,1,1,0
536,60000,2,28,0,1,1,0,0,0,0,0,0
537,400000,1,43,3,1,0,0,0,1,0,2,0
538,20000,2,27,0,0,1,0,0,0,0,0,0
539,190000,2,28,0,1,1,0,0,0,0,1,0
540,260000,2,30,0,1,1,0,0,0,0,2,0
541,140000,2,31,3,1,0,0,0,1,0,1,0
542,50000,1,31,3,1,0,0,0,1,1,0,0
543,120000,2,34,0,1,1,0,0,0,0,1,0
544,240000,2,30,3,1,0,0,0,1,0,2,0
545,50000,2,36,3,0,0,0,0,1,0,0,0
546,200000,2,29,0,1,1,0,0,0,0,1,2
547,180000,1,39,0,0,1,0,0,0,0,1,0
548,180000,2,26,0,1,1,0,0,0,0,1,0
549,160000,2,29,0,1,1,0,0,0,0,1,0
550,100000,2,26,3,1,0,0,0,1,0,1,0
551,50000,2,29,3,1,0,0,0,1,1,0,0
552,140000,2,31,3,1,0,0,0,1,0,1,0
553,30000,2,26,3,1,0,0,0,1,1,0,0
554,90000,2,26,0,0,1,0,0,0,0,1,0
555,200000,1,36,0,0,1,0,0,0,0,1,0
556,380000,2,30,0,0,1,0,0,0,1,2,0
557,80000,2,43,3,1,0,0,0,1,0,0,0
558,50000,1,58,1,0,0,1,0,0,0,0,2
559,180000,1,45,3,0,0,0,0,1,1,1,0
560,240000,2,26,3,1,0,0,0,1,0,2,0
561,380000,2,34,3,0,0,0,0,1,0,2,0
562,110000,2,24,2,1,0,0,1,0,0,1,0
563,260000,1,34,0,0,1,0,0,0,0,2,0
564,500000,2,23,3,1,0,0,0,1,1,2,0
565,320000,2,30,3,1,0,0,0,1,0,2,0
566,50000,2,32,3,0,0,0,0,1,0,0,0
567,110000,1,40,0,0,1,0,0,0,1,1,0
568,230000,2,35,0,1,1,0,0,0,0,2,0
569,330000,1,56,3,1,0,0,0,1,0,2,0
570,50000,1,61,3,1,0,0,0,1,0,0,0
571,10000,2,24,3,0,0,0,0,1,0,0,0
572,300000,1,40,0,0,1,0,0,0,0,2,0
573,20000,1,32,3,1,0,0,0,1,1,0,0
574,180000,1,36,3,0,0,0,0,1,1,1,0
575,160000,2,30,0,0,1,0,0,0,0,1,0
576,90000,2,34,0,1,1,0,0,0,0,1,2
577,30000,3,54,1,0,0,1,0,0,0,0,0
578,180000,1,46,0,0,1,0,0,0,0,1,0
579,30000,1,58,1,0,0,1,0,0,0,0,0
580,30000,1,43,3,0,0,0,0,1,0,0,2
581,140000,2,28,0,1,1,0,0,0,0,1,0
582,210000,2,30,0,0,1,0,0,0,0,2,0
583,50000,2,31,3,0,0,0,0,1,1,0,0
584,130000,2,29,3,1,0,0,0,1,0,1,0
585,50000,1,37,3,1,0,0,0,1,1,0,0
586,140000,1,36,1,0,0,1,0,0,0,1,0
587,170000,2,28,3,1,0,0,0,1,1,1,0
588,80000,2,25,3,0,0,0,0,1,0,0,0
589,410000,1,42,2,1,0,0,1,0,0,2,0
590,80000,2,29,0,1,1,0,0,0,0,0,0
591,80000,1,73,1,0,0,1,0,0,1,0,2
592,150000,1,43,3,0,0,0,0,1,0,1,0
593,260000,1,30,0,0,1,0,0,0,1,2,0
594,350000,1,38,0,0,1,0,0,0,0,2,0
595,280000,1,39,3,1,0,0,0,1,1,2,0
596,310000,1,44,3,0,0,0,0,1,0,2,0
597,140000,2,29,3,1,0,0,0,1,0,1,0
598,360000,1,51,0,0,1,0,0,0,0,2,0
599,140000,2,27,0,1,1,0,0,0,0,1,0
600,100000,2,38,0,0,1,0,0,0,0,1,0
601,50000,2,22,3,1,0,0,0,1,0,0,0
602,210000,1,30,3,1,0,0,0,1,0,2,0
603,120000,2,25,3,1,0,0,0,1,0,1,2
604,240000,2,29,0,0,1,0,0,0,0,2,0
605,60000,3,42,1,1,0,1,0,0,0,0,0
606,150000,2,41,0,0,1,0,0,0,1,1,2
607,30000,1,48,3,0,0,0,0,1,0,0,0
608,160000,2,29,0,1,1,0,0,0,1,1,2
609,200000,1,52,0,0,1,0,0,0,0,1,0
610,120000,1,25,3,1,0,0,0,1,0,1,0
611,500000,1,37,0,0,1,0,0,0,0,2,0
612,320000,2,27,0,1,1,0,0,0,0,2,0
613,280000,2,31,0,0,1,0,0,0,0,2,0
614,60000,2,23,0,1,1,0,0,0,1,0,2
615,200000,1,38,0,1,1,0,0,0,0,1,0
616,230000,1,32,0,1,1,0,0,0,0,2,0
617,230000,2,27,3,1,0,0,0,1,1,2,0
618,480000,1,41,1,1,0,1,0,0,0,2,0
619,50000,1,35,1,1,0,1,0,0,0,0,0
620,200000,2,31,0,1,1,0,0,0,0,1,0
621,50000,2,30,0,1,1,0,0,0,0,0,2
622,50000,1,48,3,0,0,0,0,1,0,0,0
623,260000,2,36,0,1,1,0,0,0,1,2,0
624,30000,2,24,0,0,1,0,0,0,0,0,2
625,440000,2,29,0,1,1,0,0,0,0,2,0
626,230000,2,38,3,1,0,0,0,1,0,2,0
627,200000,1,38,3,0,0,0,0,1,1,1,0
628,490000,1,30,3,1,0,0,0,1,0,2,0
629,80000,1,32,3,1,0,0,0,1,0,0,0
630,20000,2,49,1,1,0,1,0,0,1,0,0
631,170000,2,31,0,1,1,0,0,0,1,1,0
632,70000,2,27,0,0,1,0,0,0,0,0,0
633,210000,2,33,3,1,0,0,0,1,0,2,0
634,90000,2,25,3,1,0,0,0,1,0,1,0
635,390000,2,27,0,1,1,0,0,0,1,2,0
636,110000,2,29,0,1,1,0,0,0,0,1,0
637,580000,1,36,0,1,1,0,0,0,0,2,0
638,360000,1,55,1,0,0,1,0,0,0,2,0
639,270000,1,32,3,1,0,0,0,1,1,2,2
640,60000,2,27,0,1,1,0,0,0,0,0,0
641,110000,1,37,1,0,0,1,0,0,0,1,0
642,50000,1,25,0,1,1,0,0,0,0,0,0
643,80000,2,23,0,1,1,0,0,0,1,0,0
644,50000,2,23,3,0,0,0,0,1,0,0,0
645,100000,2,32,0,0,1,0,0,0,0,1,2
646,30000,2,26,0,1,1,0,0,0,0,0,0
647,200000,2,27,0,1,1,0,0,0,0,1,0
648,240000,2,44,0,0,1,0,0,0,1,2,0
649,220000,2,34,3,0,0,0,0,1,0,2,0
650,160000,2,28,0,1,1,0,0,0,0,1,0
651,180000,1,53,0,1,1,0,0,0,0,1,0
652,200000,1,42,2,0,0,0,1,0,0,1,0
653,140000,1,30,1,1,0,1,0,0,0,1,0
654,380000,1,51,0,0,1,0,0,0,1,2,0
655,600000,1,53,0,0,1,0,0,0,1,2,0
656,260000,2,37,3,0,0,0,0,1,0,2,0
657,200000,2,26,0,1,1,0,0,0,0,1,0
658,80000,2,42,3,0,0,0,0,1,0,0,0
659,40000,2,39,3,0,0,0,0,1,0,0,0
660,130000,2,39,1,0,0,1,0,0,0,1,2
661,50000,2,32,0,0,1,0,0,0,0,0,0
662,230000,1,41,3,1,0,0,0,1,0,2,0
663,70000,1,48,3,0,0,0,0,1,1,0,0
664,180000,1,38,3,1,0,0,0,1,0,1,0
665,80000,1,36,3,1,0,0,0,1,0,0,0
666,290000,2,26,3,1,0,0,0,1,0,2,0
667,230000,2,28,0,1,1,0,0,0,0,2,0
668,170000,3,56,1,1,0,1,0,0,0,1,0
669,230000,1,59,0,0,1,0,0,0,1,2,0
670,220000,2,38,0,0,1,0,0,0,1,2,0
671,230000,2,32,3,0,0,0,0,1,0,2,0
672,500000,1,38,3,0,0,0,0,1,0,2,0
673,90000,1,41,0,1,1,0,0,0,0,1,0
674,390000,2,35,1,1,0,1,0,0,1,2,0
675,400000,2,41,3,1,0,0,0,1,0,2,0
676,180000,1,34,3,0,0,0,0,1,0,1,0
677,60000,1,38,1,0,0,1,0,0,0,0,2
678,120000,1,32,3,1,0,0,0,1,0,1,0
679,60000,2,29,3,1,0,0,0,1,0,0,0
680,50000,2,44,0,0,1,0,0,0,0,0,0
681,70000,1,37,3,1,0,0,0,1,0,0,0
682,500000,1,38,0,1,1,0,0,0,0,2,0
683,200000,2,31,0,0,1,0,0,0,0,1,0
684,250000,1,40,3,1,0,0,0,1,0,2,2
685,140000,2,26,3,0,0,0,0,1,1,1,2
686,70000,2,28,3,1,0,0,0,1,0,0,2
687,90000,1,48,1,0,0,1,0,0,0,1,2
688,100000,1,43,3,1,0,0,0,1,0,1,0
689,190000,1,31,3,0,0,0,0,1,0,1,0
690,230000,1,42,0,1,1,0,0,0,0,2,0
691,320000,1,39,3,0,0,0,0,1,0,2,0
692,220000,1,36,3,1,0,0,0,1,1,2,0
693,260000,1,34,0,1,1,0,0,0,0,2,0
694,90000,2,32,3,1,0,0,0,1,0,1,0
695,30000,1,43,3,1,0,0,0,1,0,0,0
696,260000,2,30,3,0,0,0,0,1,0,2,0
697,170000,2,28,3,1,0,0,0,1,0,1,0
698,80000,1,28,0,1,1,0,0,0,1,0,0
699,50000,1,41,0,0,1,0,0,0,0,0,0
700,200000,2,47,1,1,0,1,0,0,0,1,0
701,20000,2,23,3,0,0,0,0,1,0,0,0
702,250000,1,49,0,1,1,0,0,0,0,2,0
703,20000,1,38,0,0,1,0,0,0,0,0,0
704,30000,1,38,3,1,0,0,0,1,0,0,2
705,90000,1,35,3,1,0,0,0,1,0,1,2
706,230000,2,46,2,1,0,0,1,0,0,2,0
707,130000,1,33,0,1,1,0,0,0,1,1,0
708,30000,1,53,2,0,0,0,1,0,0,0,0
709,160000,2,35,0,0,1,0,0,0,0,1,0
710,500000,2,43,3,1,0,0,0,1,0,2,0
711,180000,2,28,3,1,0,0,0,1,0,1,2
712,80000,1,30,3,1,0,0,0,1,0,0,2
713,120000,2,26,0,0,1,0,0,0,0,1,0
714,130000,1,31,3,0,0,0,0,1,0,1,2
715,120000,2,35,3,1,0,0,0,1,1,1,0
716,360000,2,28,0,0,1,0,0,0,0,2,0
717,50000,2,23,3,0,0,0,0,1,1,0,2
